,話者,I(明瞭さ),F(親密さ),C(社会階層)
177,K005_033_2,2.1856459400253496,-1.718921442745418,1.3579364963183087
178,K006_002_1,2.1185679218192766,-1.6123038066029225,0.9108737685296011
179,K006_002_2,2.261719717960848,-1.4872587387707907,1.161268586316877
180,K006_002_1,1.9791298889804243,-1.2986729057993247,0.9445788775271251
181,K006_002_2,1.9920398906611394,-0.9453826169107226,0.717192268565615
182,K006_003_1,2.1078731786629974,-1.0645063963311607,0.8915147004093781
183,K006_003_2,2.212944090809319,-1.2964708056171466,1.0732309037536691
184,K006_003_1,2.0090418921431437,-1.061816448059783,0.7889505678153277
185,K006_003_2,2.050535003551657,-1.140413567523972,0.8555988381256893
186,K006_006_1,2.153465004263557,-1.5974938597289188,1.1391709939800554
187,K006_006_2,1.8820942790093642,-1.2009579060982192,0.7562582345191037
188,K006_009_1,2.5550195735743033,-2.6901146333453236,1.7674857630756458
189,K006_009_2,1.6641608939646322,-1.408612621882503,0.5466521723108669
190,K006_011_1,2.1405909310493403,-1.3246773441144455,1.0408878809207265
191,K006_011_2,1.9317217598526837,-1.3663081540770383,0.8728612081697344
192,K006_013_1,1.8250661311810936,-0.841117390972275,0.6618581718731938
193,K006_013_2,1.3167659537051284,-0.08009202986629674,-0.17818157906273294
194,K006_016_1,1.8835223966910093,-1.048389707641851,0.7411198285645808
195,K006_016_2,1.893548556197604,-1.0283780956825384,0.9332062453148048
196,K006_017_1,2.0694069730725726,-1.7653446158263284,0.9229911873506921
197,K006_017_2,2.5374282031057263,-2.1110787455092734,1.5541466091510896
198,K006_018_1,2.3147975240725187,-1.8130063459629027,1.0809593473670556
199,K006_018_2,2.43823481092375,-2.171461348393929,1.2808034624161129
200,K006_020_1,2.2305011233056677,-1.800486268309918,1.091538189384808
201,K006_020_2,2.271756807472583,-1.9402886841269122,1.2115587181061072
202,K006_021_1,2.032937358423041,-1.6675971307085593,0.8572160213314256
203,K006_021_2,2.1468652216213373,-1.27665864378401,0.8206912853916057
204,K006_023_1,2.277558859658828,-1.6036134272896183,1.0285659998525332
205,K006_023_2,1.936976139834317,-1.7077599078191437,0.8049605319849442
206,K007_001_1,2.0527976751313983,-1.3800974377481052,0.8869556346489532
207,K007_001_2,1.7042051976427506,-0.9393796132495575,0.43573600319400524
208,K007_003_1,2.1754051477597707,-1.4213567678319883,0.922092160846151
209,K007_003_2,1.6000669409934827,-0.7014716187806583,0.3553473940536504
210,K007_005_1,2.607095870190714,-2.373012160898035,1.7634637157932962
211,K007_005_2,1.421904223391762,-0.9594858306465298,0.3020067468212089
212,K007_006_1,2.1788490021529676,-1.278257052911975,0.7244978818079297
213,K007_006_2,1.662403115574052,-0.6520245032123115,0.013562799179394014
214,K007_007_1,2.4437230758357935,-1.8608659963061769,1.3596984156546423
215,K007_007_2,2.3023829021626443,-1.766971731221224,1.2491069340623007
216,K007_008_1,2.0682592324123905,-1.2271013344240504,0.8280627091051262
217,K007_008_2,2.344112559937773,-1.814116591105637,1.4078248945286107
218,K007_013_1,1.9040565385768866,-1.1905994409359149,0.7351279581369914
219,K007_013_2,2.505191995113417,-1.883114477421479,1.4560079402824582
220,K007_014_1,1.9602263388978889,-0.8396414342629481,0.5237348438743501
221,K007_014_2,2.020870027582998,-1.2127021387584767,0.5737873072596119
222,K007_015_1,1.9569192427683295,-1.2417549263301995,0.7745530678362256
223,K007_015_2,1.8337936770990084,-0.9550711068373907,0.5296278438289067
224,K007_016_1,2.2900536705432644,-1.648364847020482,1.1523865221741516
225,K007_016_2,2.3079249848759833,-1.4943913532297626,1.0432654005294133
226,K007_017_1,1.6065224077546605,-0.7522688710886636,0.23841184280929825
227,K007_017_2,1.8961246988195073,-0.833662784485522,0.4821961248018057
228,K007_018_1,2.066754013064256,-1.5725401229938503,0.8941462220632258
229,K007_018_2,2.5576707919513915,-1.9900727389176083,1.3727912763298207
230,K007_019_1,2.276327847949954,-1.491551560522986,1.1108297313781124
231,K007_019_2,2.538170962042283,-1.8926493002632672,1.438298760237172
232,K007_020_1,2.4951787767740083,-2.0210646577885685,1.434344563593922
233,K007_020_2,2.5317173112700275,-2.2340433844903576,1.3902228635059046
234,K008_001_1,1.6324971092453875,-1.2279699101211412,0.4295275197282985
235,K008_001_2,1.9783280041540265,-0.5044388249219843,0.6224061870268504
236,K008_001_1,2.646640365319499,-2.3980532161601364,1.815141389765485
237,K008_001_2,1.6239674567265783,-0.3219439040207522,0.05247295846750868
238,K008_002_1,1.4039851373974113,-0.07450542437779221,0.32625294452116005
239,K008_002_2,1.800012994607238,-0.6727397946406212,0.47803118154876945
240,K008_003_1,1.7977164381142958,-0.7065217391304351,0.27964022894521673
241,K008_003_2,,,
242,K008_004_1,1.917240182754034,-1.296161593554163,0.4968430719779586
243,K008_004_2,2.5553601798737424,-2.4799557722839647,1.8681006260410078
244,K008_004_1,2.354090768862807,-2.2410714285714284,1.3948209076231193
245,K008_004_2,2.6329479278086216,-2.4771572647511086,1.632825495735748
246,K008_005_1,2.105198937722803,-1.2888181500650935,0.9431095744172335
247,K008_005_2,1.6785935645176542,-0.646295368166061,0.5506074148675014
248,K008_010_1,2.4476981928505475,-2.0846829895679515,1.2685400253825336
249,K008_010_2,2.5411670663469224,-2.071073390140813,1.4364725076760965
250,K008_013_1,1.8701235842664,-1.18877486380337,0.8626373626373622
251,K008_013_2,1.32778613791272,-0.05459503365049881,-0.055375933219681865
252,K008_015_1,1.9768852686712282,-1.5468601969862183,0.7975568909467046
253,K008_015_2,2.314712987769105,-1.7160393163307128,1.3103995789680254
254,K008_016_1,2.267909288271154,-1.9132725089024212,1.1970270712142228
255,K008_016_2,2.353513949113866,-2.0470461161202067,1.2804045733654474
256,K008_019_1,1.5366605052372149,-0.3180107908561692,0.044621600173147535
257,K008_019_2,1.9074242479356882,-1.176831005984611,0.7564260372167109
258,K009_002_1,2.023251024834128,-1.112597132818711,0.7455086740139659
259,K009_002_2,1.975590133660017,-1.2537451150673034,0.6611214475940314
260,K009_003_1,1.7003762533570597,-0.8066356167251035,0.3975410373830547
261,K009_003_2,1.8255931280192157,-1.1802313186227482,0.5250619860509085
262,K009_006_1,1.3505207929492646,-0.4538093298024036,-0.15864715882746896
263,K009_006_2,1.899020430124543,-1.060481088879132,0.5712548561321497
264,K009_007_1,1.7745815719833662,-0.8411439366351056,0.5039578138226076
265,K009_007_2,2.2277544248818635,-1.6100656333432217,1.2208113794194857
266,K009_008_1,1.6625127938086948,-0.3637688370770543,-0.11285872953315915
267,K009_008_2,1.2979033804343296,-0.8651310434641053,-0.15251637509327623
268,K009_009_1,1.9279947447606536,-1.006698484467889,0.4199104010819494
269,K009_009_2,2.0360379957943584,-0.8306429167826331,0.5673035483407554
270,K009_009_1,1.7712546357847598,-1.0809575040344273,0.6754957703508527
271,K009_009_2,,,
272,K009_010_1,2.6046790219152984,-1.8597346330896292,0.775869291998324
273,K009_010_2,2.1024259851767853,-1.3416824944602723,0.7800338409475465
274,K009_011_1,1.152121421179717,-0.15420665866826633,-0.41468995499961875
275,K009_011_2,1.8380722944823242,-0.9821679550245961,0.5239566551168584
276,K009_012_1,1.975052669579883,-1.1475194980985322,0.7378985795974625
277,K009_012_2,2.1628937835679984,-1.2901351402505956,0.8684933518386058
278,K009_014_1,2.2906218746611082,-1.6653903221174557,1.1422848343398855
279,K009_014_2,2.8410513892500653,-2.7136557779008137,1.8689996408762615
280,K009_015_1,2.518128531817065,-2.6102091359383603,1.6240654042345044
281,K009_015_2,,,
282,K009_016_1,1.6124169464885332,-0.7875833881424407,0.11383600018992424
283,K009_016_2,2.1296804491853347,-1.0470047449584812,0.7512324872165276
284,K009_016_1,1.6166227152859867,-0.974979149291076,0.27075659682386305
285,K009_016_2,2.208051526079893,-1.6322162706587924,1.1717171717171713
286,K009_019_1,2.0064607561168772,-2.4674426176135436,1.2944200315065086
287,K009_019_2,1.7386187256211953,-0.8373955431754874,0.5600495809867692
288,K010_001_1,1.8010502726026023,-0.9793402162353773,0.5249716105185812
289,K010_001_2,1.7100502163205717,-0.740600942571386,0.3348083068800029
290,K010_003_1,2.715762349351417,-2.3174265112086765,1.7733186505447704
291,K010_003_2,2.082151603584051,-1.5678182981445936,1.0075524721173268
292,K010_003_1,2.3991343937946152,-1.827509253211409,1.1059033590001115
293,K010_003_2,2.2903241626207644,-1.6719435437726495,1.0518467985576452
294,K010_004_1,2.4475961450875374,-2.4618726564753386,1.6723855912180579
295,K010_004_2,2.4918889876216648,-2.471146777750551,1.6600305016281272
296,K010_004_1,2.6338157523515675,-2.493473787476371,1.6204100238720744
297,K010_004_2,2.2930192494397446,-2.252929375163551,1.3725733288604307
298,K010_005_1,2.2937375334356696,-2.1639542113155095,1.4044178402893814
299,K010_005_2,2.440428058744508,-2.3559985000517227,1.6272127193266845
300,K010_005_1,2.728228819417102,-2.510246187060381,1.7371834087850238
